215	275	16
298	277	14
164	284	16
334	308	15
184	312	16
330	261	18
335	264	18
216	258	17
211	256	17
155	330	18
288	291	19
301	267	20
316	253	21
370	301	20
184	250	19
310	279	22
146	286	23
164	271	23
154	309	23
206	289	23
307	286	23
324	236	23
332	297	24
347	258	24
123	286	25
196	261	25
136	309	25
190	248	26
371	257	26
170	270	27
335	322	26
111	286	29
141	298	29
352	284	28
312	233	29
372	288	28
206	299	29
389	273	31
174	343	30
182	320	30
166	357	30
192	227	30
224	284	30
305	327	30
371	218	32
192	245	32
388	337	33
162	222	33
195	222	33
321	257	33
154	236	34
180	332	34
337	319	34
116	282	34
122	340	35
132	262	36
125	257	34
122	229	34
355	364	34
143	356	35
191	185	37
361	203	37
372	208	37
390	254	38
392	267	38
400	278	38
142	202	38
206	321	40
234	181	40
329	340	41
342	193	42
107	295	40
128	309	40
387	260	40
103	259	40
134	330	42
172	253	42
166	243	42
320	356	41
156	343	43
124	226	43
122	264	43
168	172	44
142	326	44
309	161	44
367	203	44
352	174	44
106	244	45
154	180	45
220	163	45
317	324	45
398	317	45
126	209	46
384	241	47
111	322	46
159	207	47
144	222	47
326	351	47
110	255	48
195	360	48
112	331	46
199	352	48
308	356	48
348	174	47
326	181	47
384	343	47
381	353	46
90	321	49
161	181	50
226	162	49
351	255	50
356	198	49
186	206	50
175	325	52
210	169	49
337	161	49
371	327	49
406	250	50
412	298	51
137	209	52
351	187	51
388	259	51
131	226	52
152	249	52
212	188	52
215	301	52
359	339	52
352	252	53
115	347	55
346	376	52
371	339	54
94	256	55
106	296	54
104	335	55
160	180	55
387	293	54
411	322	55
167	192	56
135	208	56
81	291	56
352	334	56
358	326	56
360	193	55
79	322	59
138	201	56
202	340	57
125	301	61
146	339	58
301	344	59
418	258	59
184	173	55
141	305	61
211	313	55
341	369	60
386	287	57
416	226	60
185	146	60
374	252	61
136	215	62
157	235	60
125	297	61
172	335	62
402	236	61
428	243	64
142	252	62
374	160	63
108	330	61
121	287	65
163	283	62
108	336	62
179	152	63
418	247	63
416	302	61
101	292	65
416	325	65
147	177	66
333	372	66
89	283	70
95	226	66
127	309	69
207	317	67
396	232	67
376	351	67
159	195	66
145	300	69
168	166	67
161	248	68
414	206	69
179	355	69
439	273	69
388	361	70
398	280	70
430	323	70
150	218	71
333	349	71
393	254	67
413	187	71
411	207	72
380	342	72
170	149	73
170	370	74
115	349	74
178	213	72
209	261	73
329	364	75
365	334	74
103	210	76
96	238	77
128	330	75
169	293	75
323	354	74
442	280	74
124	372	76
224	300	75
429	264	76
112	238	77
383	294	77
375	281	77
427	200	77
427	266	79
177	165	79
138	198	78
83	280	82
71	277	80
103	209	79
83	233	82
78	248	78
115	222	82
156	278	80
159	228	81
324	354	79
412	269	82
107	361	82
186	293	81
164	374	81
108	220	81
436	300	81
88	216	83
160	366	81
211	328	81
395	264	82
311	316	81
435	242	82
355	319	83
384	331	83
173	165	84
170	174	84
397	258	84
171	294	84
186	300	89
339	347	84
65	282	87
124	154	87
165	161	86
310	307	81
438	256	88
75	320	87
125	339	86
146	320	86
200	301	87
398	365	87
436	332	87
223	270	88
251	273	88
374	360	88
341	345	88
438	249	89
195	147	87
329	347	89
429	313	87
148	340	89
164	341	89
320	354	90
435	233	90
145	359	90
207	322	92
335	356	89
326	350	92
375	347	90
184	356	93
417	180	92
438	310	89
446	265	91
200	136	89
191	329	94
206	325	94
380	357	89
305	332	94
333	361	94
197	351	95
139	365	96
163	370	94
377	361	90
394	370	95
376	369	95
183	359	97
155	369	96
104	346	93
138	371	102
180	363	91
